0.7	0.94458	0.85911
0.71	0.9411	0.85829
0.72	0.94347	0.85829
0.73	0.94458	0.85812
0.74	0.94347	0.86025
0.75	0.93977	0.85894
0.76	0.94451	0.85894
0.77	0.94214	0.85894
0.78	0.9434	0.85911
0.79	0.94207	0.85977
0.8	0.94332	0.85993
0.81	0.94199	0.85961
0.82	0.94318	0.8606
0.83	0.94199	0.8606
0.84	0.94297	0.86211
0.85	0.94311	0.86143
0.86	0.94437	0.86259
0.87	0.94051	0.86195
0.88	0.94177	0.86211
0.89	0.94268	0.86047
0.9	0.94155	0.86163
0.91	0.94133	0.86114
0.92	0.94395	0.86163
0.93	0.9414	0.86131
0.94	0.9414	0.86332
