0.7	0.8247	0.84929
0.71	0.82371	0.85086
0.72	0.82192	0.84906
0.73	0.8229	0.85285
0.74	0.8229	0.85285
0.75	0.82263	0.85261
0.76	0.8229	0.8542
0.77	0.82462	0.8535
0.78	0.82416	0.85285
0.79	0.82263	0.85397
0.8	0.8229	0.85556
0.81	0.82236	0.85646
0.82	0.82389	0.8608
0.83	0.82389	0.85533
0.84	0.82335	0.85897
0.85	0.82335	0.86035
0.86	0.81985	0.8592
0.87	0.82209	0.86312
0.88	0.82154	0.8599
0.89	0.8228	0.86268
0.9	0.82308	0.8643
0.91	0.82253	0.86386
0.92	0.82226	0.8707
0.93	0.82115	0.867
0.94	0.81818	0.86711
