0.7	0.77848	0.78846
0.71	0.77707	0.7871
0.72	0.77848	0.78846
0.73	0.77707	0.7871
0.74	0.77707	0.7871
0.75	0.77707	0.7871
0.76	0.77987	0.78981
0.77	0.77707	0.7871
0.78	0.77848	0.78846
0.79	0.77707	0.7871
0.8	0.77707	0.7871
0.81	0.77707	0.79221
0.82	0.77848	0.78846
0.83	0.77707	0.7871
0.84	0.77564	0.79085
0.85	0.77564	0.79085
0.86	0.78065	0.79085
0.87	0.77564	0.79085
0.88	0.77564	0.79605
0.89	0.77564	0.79605
0.9	0.77564	0.80132
0.91	0.77564	0.80667
0.92	0.77564	0.80667
0.93	0.77564	0.81208
0.94	0.77564	0.81757
