0.7	0.87297	0.9223
0.71	0.87202	0.92129
0.72	0.87297	0.92137
0.73	0.87202	0.92222
0.74	0.87297	0.9223
0.75	0.87368	0.92222
0.76	0.87297	0.92323
0.77	0.87214	0.9251
0.78	0.87297	0.92417
0.79	0.87297	0.92417
0.8	0.87214	0.92417
0.81	0.87273	0.92401
0.82	0.87106	0.92495
0.83	0.87236	0.92566
0.84	0.87344	0.92675
0.85	0.87202	0.92596
0.86	0.87069	0.92661
0.87	0.8714	0.92653
0.88	0.87248	0.92668
0.89	0.87236	0.92661
0.9	0.87332	0.92762
0.91	0.87128	0.92646
0.92	0.86948	0.92828
0.93	0.87332	0.92857
0.94	0.87128	0.92835
